tokens,rewards
"6,8,1,9,2,9,3,0,2,3,0,4,0,2,9,0,0",0.0
"2,3,6,3,0,0,9,7,5,0",0.0
"1,0,1,9,8,3,9,5,1,9,0",0.9888132895666244
"3,4,5,5,0,2,9,5,5,3,0,1,9,0,9",0.0
"6,7,3,4,6,3,2,4,4,2,4,9,5,0,0,0,0,0,0,0,0",0.0
"5,3,5,5,0,2,0,6,3,8,1,0,6,6,0,9",0.0
"7,6,4,5,2,9,2,6,0,6,6,0,9",0.0
"3,2,7,0,9,2,9,8,5,1,1,9,4,4,0,0,0,0",0.0
"5,3,6,7,5,1,5,3,0,1,1,9,6,2,9,6,0,0,9,0",0.0
"6,6,6,8,1,4,9,5,3,0,9,3,9,3,2,0,0,0",0.0
"2,9,4,0,1,3,8,2,2,4,6,0,2,0,9,9,1,0,0,0,0",0.0
"5,1,2,1,5,0,9,4,3,9,5,0,8,0,0",0.0
"8,4,6,1,6,2,6,6,2,9,2,5,3,9,2,0,0,0,9,0,0",0.0
"2,1,6,1,7,0,5,2,6,1,8,1,3,0,0,9,9,0,9,0",0.0
"5,1,0,5,1,0,2,3,5,8,3,5,4,0,1,9,0,9,0,9",0.0
"1,9,5,5,4,9,1,8,0,0",0.0
"6,8,5,3,2,0,5,4,0,6,6,0,9",0.0
"8,1,6,3,0,1,3,2,2,9,4,1,9,3,0,1,0,0,9,0,0,0,0",0.0
"6,7,5,4,2,5,3,9,3,0,2,0,9,3,0,9,0",0.0
"6,3,1,2,8,4,4,0,3,6,6,0,0,4,4,0,6,0,9,9,9,0",0.0
"4,4,0,8,5,0,4,3,9,1,1,9,0,0,9",0.0
"2,3,6,0,9,3,0,0",0.6104672841126426
"6,7,2,0,2,5,0,2,0,9",0.0
"3,8,1,0,5,5,0,8,4,9,4,9,0",0.0
"2,5,3,9,2,9,0,1,5,7,4,2,0,9,0,5,0",0.0
"6,2,8,4,9,4,6,6,0,4,6,0,0,8,0",0.0
"7,5,2,5,0,3,4,2,9,4,0,0,9,0",0.0
"3,9,6,2,0,3,8,6,3,3,9,5,2,9,0,0,0",0.0
"3,7,0,2,0,3,9,7,6,0",0.36182117573164635
"1,5,3,0,8,0,4,2,9,0,0",0.0
"1,0,5,2,6,7,1,9,1,9,2,9,0,0",0.364315639047502
"5,1,5,7,1,5,3,2,5,3,2,9,3,9,3,0,9,0,0,0,0,0",0.0
"6,4,9,5,5,8,5,3,0,5,5,2,9,2,9,0",0.0
"3,7,0,7,6,1,5,0,6,0",0.0
"4,1,5,0,2,7,0,1,1,6,2,0,6,2,0,9,0,0,9",0.0
"6,3,9,3,1,8,6,6,4,4,3,9,4,6,0,3,0,9,0,0,0,0",0.0
"8,5,2,6,6,1,0,6,2,3,0,5,0,0,0",0.0
"8,1,9,5,3,1,1,1,2,9,4,1,0,9,0,0,0,0,0",0.0
"6,2,9,5,7,4,0,0",0.0
"3,4,0,0,3,1,0,5,4,2,9,0,0,0",0.0
"2,0,3,8,0,5,8,3,0,9",0.0
"5,1,8,5,0,1,5,3,9,0,4,3,9,3,0,0,8,0",0.0
"2,9,3,0,1,5,0,2,1,9,4,7,6,0,9,8,0",0.0
"2,4,6,7,5,2,0,4,4,2,5,0,9,1,9,0,0,0,9",0.0
"3,6,1,5,5,3,2,9,0,7,3,2,3,5,0,9,0,0,0,9",0.0
"4,0,2,1,7,2,2,2,6,0,5,1,0,9,0,0,9,9",0.0
"4,9,1,0,1,7,1,9,3,2,3,9,5,5,0,0,0,0",0.0
"2,8,0,4,2,8,2,2,0,0,9,9,6,8,0",0.8335368153167789
"8,2,9,3,6,2,4,5,0,9,0,2,4,2,0,0,5,0,0",0.0
"4,9,8,4,9,1,5,3,9,2,1,4,6,3,0,0,0,0,0,0",0.0
"2,9,3,8,5,4,1,1,0,0,9,1,5,0,9,0",0.0
"7,3,6,4,5,0,9,5,5,0",0.0
"8,6,6,3,9,1,6,2,5,5,2,0,9,6,0,0",0.0
"3,2,2,0,9,6,4,6,2,9,8,0,9,1,0,0",0.38855736894079135
"8,2,9,2,3,4,1,2,9,0,2,4,3,9,0,0,0,0,0,0",0.0
"8,5,5,3,5,4,3,5,0,3,5,5,5,5,0,0,0,0",0.0
"6,6,3,6,8,5,3,2,3,3,5,0,3,5,3,9,0,9,9,0,0,0",0.0
"1,9,4,7,0,1,4,7,3,3,2,2,5,2,0,0,9,9,0,0,0,0",0.0
"2,2,8,0,0,8,5,1,9,4,9,1,0,4,9,0",0.0
"2,8,3,9,0,5,8,6,2,4,0,6,6,0,0",0.4029493180884852
"8,1,4,3,2,1,3,0,2,6,6,1,0,0,0,0,9,0,0,0",0.0
"4,9,8,1,9,1,4,1,2,1,0,0,4,9,5,0,0,0,0",0.0
"6,4,4,4,9,0,0,9",0.0
"1,2,8,5,0,8,3,0,3,2,0,6,0,1,0,0,9",0.0
"1,0,5,7,3,6,0,5,4,1,9,0,5,2,9,0",0.0
"2,4,4,0,9,9,2,8,0,6,6,8,6,1,6,3,0,0,0",0.08509647446253403
"5,4,9,6,8,3,2,9,4,9,5,0,0",0.0
"4,2,7,3,9,0,5,4,2,9,1,5,1,6,0,0,9,0,0",0.0
"3,3,9,8,1,0,9,7,2,0,1,0,9",0.985043271691143
"2,9,3,0,3,9,4,6,6,6,8,0,1,2,2,0,9,0,0",0.0
"4,3,9,1,0,0,5,4,0,1,5,7,0,0",0.0
"6,7,5,4,1,3,0,0,9,1,0,5,0",0.0
"7,6,4,0,2,6,6,2,1,4,0,0,6,0,5,4,9,0,9",0.0
"6,4,8,0,5,3,1,4,4,9,4,2,7,0,0,9,9,0,0",0.0
"8,1,1,6,1,9,5,0,0,1,2,3,0,5,0,0,0",0.0
"6,2,3,7,4,4,5,0,2,3,9,5,2,0,2,0,0,9,0,9,0",0.0
"2,9,6,7,5,3,0,0",0.0
"4,0,7,6,1,3,0,9,4,5,1,3,6,6,2,0,0,9,9,0",0.0
"1,0,1,0,2,3,4,9,3,8,6,4,2,0,9,9,0,0,0",0.0
"8,1,4,4,0,1,6,4,0,3,3,4,3,5,0,4,9,0,9,9,0,0,0,0",0.0
"2,0,1,0,2,5,2,0,3,1,2,1,3,0,9,0,0,9,0,9",0.0
"1,1,8,2,5,3,2,5,2,2,5,0,0,9,9,0,6,0,9,0",0.0
"3,1,9,8,4,0,9,2,8,0,0",0.32967074577494326
"7,6,3,0,5,4,1,6,0,1,0,6,2,9,0,0",0.0
"2,5,0,8,5,5,3,1,9,6,0,4,3,3,0,0,0,0",0.0
"6,2,6,1,8,5,0,0,0",0.0
"5,8,2,5,4,0,9,6,1,0,6,3,0,9",0.0
"6,2,0,7,5,3,5,5,3,9,2,2,5,4,0,9,9,0,0",0.0
"2,9,3,2,1,1,9,0,9,6,3,2,0,3,4,0,0,0,0,0",0.0
"8,1,9,6,2,0,5,1,4,1,3,4,4,1,6,0,9,0,9,0,0,0,0",0.0
"7,4,9,4,0,3,9,1,0,2,6,1,6,2,0,0,9,0",0.0
"2,4,7,5,3,3,0,3,0,6,1,5,0,0,9,9,9",0.0
"3,7,0,1,7,0,8,2,1,5,1,2,6,4,9,0,0,9,9,0",0.0
"7,4,1,9,4,0,1,0,0,0",0.0
"1,9,1,3,0,2,5,0,2,0,3,9,1,2,0,9,0,0",0.0
"4,0,2,7,0,2,8,5,5,5,3,3,0,5,0,9,9",0.0
"3,7,6,6,6,2,9,1,1,2,5,0,9,9,6,0,8,0",0.0
"6,6,7,3,4,9,0,3,0,0",0.0
"7,6,1,2,6,3,0,2,9,4,6,3,3,9,0,0,9,0,0",0.0
"5,8,2,1,0,6,0,6,0",0.0
"3,8,3,2,0,0,2,5,0,3,0,4,0,4,2,0,0,0,9",0.0
"4,3,0,7,0,7,4,0,0",0.0
"7,1,1,9,5,2,4,3,1,3,9,0,0,9,4,2,0,0,0,0,0",0.0
"4,0,4,3,3,8,0,9,7,5,4,1,9,4,0,0,9,8,0",0.0
"8,2,0,6,6,6,3,0,0",0.0
"6,1,3,4,9,0,9,6,7,2,2,2,1,0,0,0,9,6,0",0.0
"1,0,5,1,9,8,5,2,6,6,4,1,1,9,0,0,0,0",0.0
"1,0,7,4,3,2,4,5,0,4,9,6,3,0,9,9,0,0",0.0
"4,9,2,2,5,3,4,2,8,3,0,3,3,9,0,0,9,0,0,0,0",0.0
"7,1,0,5,3,4,4,9,1,5,1,2,3,5,0,0,0,0,0,0,9",0.0
"7,1,2,9,4,0,3,0,3,1,3,0,9,4,9,0,0,0",0.0
"8,3,5,1,3,1,9,0,0,9,0",0.0
"6,2,5,4,2,0,3,1,2,2,2,1,9,0,2,9,0,0,9,0,0,0,0",0.0
"1,3,2,9,7,3,0,3,5,4,6,3,9,0,9,0,0,0",0.356427382148385
"3,5,1,9,8,0,6,8,4,0,6,0",0.950014961878014
"3,2,4,3,0,9,0,8,1,0,3,5,1,0,1,2,0,9,9,0,0",0.0
"8,2,3,1,3,6,4,5,5,5,5,0,2,0,9,9,9,0,0",0.0
"2,7,4,4,1,5,0,4,6,2,4,9,6,4,0,9,0,9,0,0,0",0.0
"6,4,9,5,5,4,6,6,6,8,2,1,1,0,9,9,0,0",0.0
"5,8,3,0,2,1,3,0,0,9,4,1,1,4,0,0,9,9,0",0.0
"1,3,0,9,1,2,0,0,5,3,7,5,3,0,0,9",0.0
"3,2,9,4,7,6,0,3,2,7,0,2,4,4,0,9,7,0,9,0,0",0.0
"3,6,8,1,0,6,0,5,2,3,2,1,9,8,4,9,0,9,0,0",0.0
"6,2,4,9,8,2,5,3,5,5,1,9,2,6,0,0,0,0,0",0.0
"5,5,8,2,9,2,6,0,2,3,1,9,5,0,4,0,9,0",0.0
"2,2,7,5,1,1,9,0,4,2,0,0,6,4,3,0,9,9,0,0",0.17386214437649472
"1,9,4,1,2,7,4,6,0,5,0,8,4,3,9,0,0,0,0",0.0
"8,4,0,2,2,4,9,4,0,3,4,5,1,9,0,9,0,0,0",0.0
"8,2,9,3,9,5,5,2,9,1,6,1,4,3,6,0,0,0,0,0",0.0
"8,4,3,5,1,3,0,2,5,1,5,0,9,9,6,0,0,0",0.0
"1,0,1,1,2,2,4,1,1,0,3,2,4,2,9,3,0,9,0,9,0,0,0,0,0,0,0",0.0
"7,2,9,1,2,0,4,2,6,0,5,4,4,9,0,9,0,0",0.0
"8,6,1,3,4,2,6,0,9,2,9,4,9,5,0,0,0",0.0
"2,5,1,7,1,5,3,0,9,0,9,1,2,7,0,4,9,0,0",0.0
"6,7,3,0,2,5,5,0,3,9,1,9,4,9,0",0.0
"3,7,4,0,1,2,4,2,1,5,2,5,0,2,0,0,2,9,0,0,9,0,9,0",0.0
"2,6,6,7,1,3,5,2,6,3,3,9,3,0,9,0,9,0,0,0",0.0
"4,3,9,2,2,2,8,4,5,3,6,0,3,5,2,0,9,0,9,0,0,0,0",0.0
"2,8,2,0,4,2,3,0,9,9,1,3,1,0,9,0,2,4,0,0,0,0",0.0
"4,6,4,8,5,3,2,5,4,9,4,6,0,0,6,1,0,0,9,9,0",0.0
"6,2,3,0,0,4,9,8,5,5,0",0.0
"5,4,0,5,2,0,1,1,5,5,3,4,9,3,9,0,0,0,9",0.0
"3,5,8,0,2,7,3,2,9,0,9,7,2,0,0",0.19394570479292408
"4,2,4,4,7,0,2,0,9,3,9,7,3,2,9,4,0,0,0,0,0",0.0
"7,5,5,1,1,9,1,6,4,0,2,0,9,4,0,0,6,0",0.0
"3,0,2,9,4,8,5,2,9,6,6,1,9,2,0,0,0",0.0
"5,1,7,0,3,9,2,8,0,6,3,2,1,0,0,9,0",0.0
"3,2,8,6,2,9,4,0,4,0,9,9,0",0.0
"8,6,4,5,1,2,0,4,0,2,4,6,6,3,0,9,9,9,0,0",0.0
"2,7,0,5,8,6,4,0,9",0.0
"2,0,8,3,5,5,2,0,4,2,0,9,9,0",0.0
"3,5,4,9,8,0,7,4,9,6,0",0.9795483078929206
"8,2,9,2,9,2,0,5,3,3,9,4,5,0,0,2,0,0",0.0
"7,5,3,6,4,0,9,0",0.0
"4,4,9,5,5,0,1,4,9,8,1,9,5,0,8,0",0.0
"1,7,4,6,3,3,5,3,1,9,3,9,3,9,0,0,0,0,0,0",0.0
"4,0,1,0,1,9,8,1,0,4,0,1,5,3,0,9,0",0.0
"8,6,4,6,2,5,3,3,6,2,0,1,0,9,9,9,0,0",0.0
"4,0,6,4,1,9,6,2,2,0,0,8,5,4,5,0,9,0",0.0
"7,2,2,6,6,3,1,1,0,1,0,1,9,4,0,0,0,9,9,0",0.0
"1,6,3,0,7,4,0,9,7,6,0",0.5069186774875973
"2,3,9,5,5,4,0,0,7,0",0.0
"1,2,9,0,2,9,6,4,9,0",0.0
"3,9,3,4,5,3,9,7,0,4,8,0,3,4,2,0,9,0,0,0",0.0
"7,4,0,4,5,0,6,2,2,1,9,3,6,2,9,0,9,0,0",0.0
"8,1,0,2,4,9,0,4,2,6,0,6,6,1,9,0,9",0.0
"3,1,4,3,9,2,6,0,1,9,3,0,2,3,0,0,9,0,0,0",0.0
"2,1,9,0,2,1,6,0,7,2,2,2,2,0,0,9,9,0,0",0.9586176864242413
"5,3,9,1,4,0,7,2,4,1,5,0,6,6,0,0,0,0",0.0
"3,7,0,4,3,0,0,6,1,1,0,9,2,1,3,9,0,9,0",0.3937535224436106
"6,7,3,5,0,1,4,9,0,2,5,1,9,0,9",0.0
"3,4,3,1,4,9,2,3,0,4,3,0,4,0,9,9,0,0,0,0,0",0.0
"3,4,0,5,8,1,3,2,2,1,3,3,9,2,0,6,0,9,0,0,0,0,0,0",0.0
"2,2,8,6,1,1,0,5,3,0,3,0,0,2,0,0,0,9",0.0
"6,6,6,4,9,4,4,3,9,6,7,3,0,0,7,0,7,0",0.0
"6,4,1,2,9,3,4,0,3,3,8,5,3,2,2,0,9,0,0,9,0,0,0,0",0.0
"8,2,6,4,9,2,0,9,9",0.0
"3,3,0,1,6,6,4,9,1,9,7,0,8,4,3,0,0,9,0",0.37431152349014624
"1,6,7,0,2,1,0,5,3,6,2,9,0,0,3,0,0",0.0
"6,4,8,3,1,9,4,4,0,0,9,3,9,0,0",0.0
"2,7,6,6,0,4,0,4,1,6,4,0,3,9,6,8,0,9,9",0.545401554307815
"3,9,6,4,1,8,1,3,5,1,0,2,0,9,9,0,0,0",0.0
"3,9,6,4,7,0,3,7,6,3,0,3,0,0,9",0.8949822947566974
"3,7,0,7,6,1,9,2,9,2,3,6,2,9,1,0,0,0,0",0.18620972051824425
"2,6,1,1,7,4,5,0,4,9,6,2,9,0,8,0,0,0",0.0
"3,4,3,5,0,4,7,6,6,3,9,6,0,2,0,3,9,0,9,0",0.0
"7,5,4,6,2,9,1,4,2,4,2,5,0,4,0,9,0,0,0,0,9",0.0
"5,7,4,1,6,1,0,4,6,2,5,0,0,6,0,0,0",0.0
"4,1,9,1,1,5,0,2,4,6,8,1,9,0,9,0,0,0",0.0
"3,5,3,6,6,8,4,9,0,8,5,0,9",0.0
"2,8,0,2,9,1,4,2,0,5,3,7,0,9,9,0",0.0
"2,0,6,3,5,0,2,3,0,7,0,8,1,0,0",0.0
"2,9,2,7,0,4,4,1,0,3,7,1,3,0,2,0,9,0,0,9,0",0.0
"7,5,2,4,0,9,2,9,5,5,4,0,0",0.0
"6,6,4,7,1,6,0,0,1,0,7,1,6,2,0,9,0",0.026172912123602655
"6,3,3,6,3,5,5,0,5,4,0,4,9,6,7,0,9,0",0.0
"3,5,1,0,9,4,3,1,3,4,5,0,1,0,9,9,0,0,0",0.0
"8,6,4,6,6,1,1,2,9,0,0,0,2,9,0",0.0
"2,3,7,3,0,5,0,0,0",0.0
"3,0,4,9,3,8,6,3,0,1,0,0,0",0.0
"8,1,3,5,0,9,2,9,1,5,2,5,1,9,6,0,3,0,0,0",0.0
"8,1,3,2,1,0,2,3,9,4,2,6,4,0,4,9,0,0,9,0,0,0,0",0.0
"2,2,8,5,1,9,5,5,5,4,6,2,1,9,0,0,9,0,0",0.0
"1,3,3,7,3,6,0,1,3,5,2,3,9,1,0,0,0,9,0,9,0,0",0.0
"4,3,1,3,7,0,1,5,0,0,4,9,0,0,3,0,9",0.0
"4,3,4,1,7,3,0,9,4,5,7,6,1,6,0,9,0,0,9,0",0.0
"6,4,4,0,0,5,1,7,2,5,0,0,7,0",0.0
"2,0,1,0,6,4,0,7,2,6,4,1,0,6,0,9,0",0.00038080823694937175
"2,7,2,5,1,9,4,2,2,9,0,0,3,0,1,0,0,9,0",0.0
"5,5,2,8,1,9,3,0,0,3,5,2,0,6,0,0",0.0
"1,9,8,4,3,1,6,1,2,9,0,3,9,0,0,1,0,0,0",0.0
"6,4,0,2,8,0,7,6,2,3,9,3,9,5,0,4,5,0,0",0.0
"2,9,3,5,7,3,2,1,9,6,6,0,6,1,9,1,0,0,0,0",0.0
"3,1,7,5,0,0,0",0.0
"5,8,3,5,1,9,0,0",0.0
"7,3,9,6,3,3,6,6,0,3,3,9,4,5,0,0,0,9",0.0
"8,2,6,3,0,9,4,0,6,3,5,5,2,9,0,0",0.0
"7,6,4,5,3,4,9,0,4,1,6,0,4,9,0,9,0",0.0
"7,1,0,3,5,2,2,9,4,0,1,5,0,0,0,0",0.0
"7,1,3,9,0,1,0,1,9,4,0,6,1,9,4,2,0,0,0",0.0
"4,6,4,1,9,7,1,1,9,6,4,3,9,0,0,0,0,0",0.0
"4,5,4,0,8,4,6,6,0,1,4,9,0,9,9",0.0
"5,7,5,5,4,2,2,5,0,0,3,6,4,5,5,0,0,9,9",0.0
"1,0,3,4,9,5,2,4,4,2,7,0,0,9,0,9,0",0.0
"2,9,7,2,6,3,9,0,4,0,9",0.9156021759076741
"4,3,5,5,0,5,8,0,8,6,6,6,0",0.0
"4,5,7,0,6,1,6,0,6,2,9,2,9,4,9,0",0.0
"4,0,3,5,0,4,6,1,9,8,3,0,9,9",0.0
"6,6,7,3,1,6,2,5,0,2,5,3,5,5,0,9,9,0,0",0.0
"3,9,6,8,4,2,1,0,2,9,5,5,1,1,9,0,0,0,0",0.0
"4,3,9,4,9,2,9,8,4,0,0,0",0.0
"7,2,3,0,4,9,1,0,2,3,2,2,0,0,9,0,9,0",0.22493636605354203
"4,1,2,6,6,3,4,9,2,9,0,2,0,0,8,6,0,9,0",0.0
"4,6,3,0,5,5,4,2,9,8,1,9,1,5,0,0,0,0",0.0
"2,9,8,6,3,0,2,2,9,3,2,9,0,3,0,0,0",0.883983366559987
"3,0,8,4,0,3,9,0",0.0
"4,8,5,5,5,0,6,7,5,0",0.0
"2,6,4,1,1,0,6,0,0,0,9",0.0
"5,4,1,6,2,9,3,3,9,1,1,9,8,0,0,0,0,0",0.0
"5,1,4,9,3,8,3,0,9,9,5,0",0.0
"2,0,4,9,6,4,9,2,1,0,2,0,1,4,1,0,9,0,0,0",0.0
"8,2,3,2,5,2,6,0,6,4,3,6,0,9,4,9,0,9,0,0",0.0
"2,5,0,2,5,5,2,9,6,3,2,0,0,9,1,9,6,0",0.0
"2,0,6,1,2,0,0,6,0",0.0
"1,6,0,1,0,5,3,8,3,9,3,1,0,3,9,0,9,0",0.0
"4,1,3,5,1,5,7,3,1,3,4,6,0,9,0,9,0,9,0,0,0",0.0
"8,4,0,1,0,3,9,3,9,5,1,4,2,9,0,0,0",0.0
"4,3,7,2,6,2,0,2,4,9,0,3,1,9,0,9,0,0,0",0.0
"7,2,0,3,9,2,9,0",0.32628740013345253
"6,3,6,8,4,3,3,3,0,0,6,6,0,9,9,0",0.3682068306529561
"6,8,4,2,0,5,1,4,3,9,2,1,6,0,1,9,0,0,0,9,0",0.0
"1,5,1,9,0,8,5,3,1,6,0,9,4,0,9",0.0
"2,0,7,2,5,4,5,0,3,6,2,2,0,0,9,9,0",0.0
"1,7,5,4,9,1,5,4,4,9,3,2,9,3,0,0,0,0,0,0",0.0
"6,4,5,0,2,1,3,2,5,0,8,1,2,5,2,9,0,9,9,0,0,0",0.0
"7,3,0,3,1,4,9,5,3,6,6,3,9,0,5,0,9,0",0.0
"2,3,6,0,9,7,1,9,2,3,4,0,0,1,9,0,0",0.0
"4,8,6,1,0,2,6,0,0,2,3,9,0,0",0.0
"7,6,2,0,4,9,2,2,9,2,4,4,5,5,1,9,0,0,0,0,0",0.0
"3,5,3,8,5,5,3,5,3,9,2,1,0,0,1,9,0,9,0,0",0.0
"6,4,0,7,2,9,3,0,0",0.0
"4,8,5,3,0,2,9,0,7,0",0.0
"5,1,5,4,7,2,6,1,3,0,4,9,3,0,0,0,9,9,0",0.0
"5,4,8,4,6,6,4,9,4,4,9,1,3,9,0,0,6,0,0,0",0.0
"3,0,1,0,8,1,2,5,0,5,2,3,9,0,0,0",0.0
"1,0,3,8,4,0,9,5,5,3,0,9",0.0
"5,7,5,3,9,4,4,3,3,5,0,1,9,0,0,9,0",0.0
"6,1,9,8,5,4,1,4,9,0,2,5,3,9,4,0,0,0,0",0.0
"8,4,9,2,3,5,5,4,5,0,3,5,0,4,0,0,9,9",0.0
"7,6,1,9,4,1,1,0,4,0,9,9,0",0.0
"7,1,5,2,9,5,0,6,3,4,1,6,0,0,0,6,0",0.0
"5,7,4,6,2,0,9,1,4,3,0,2,5,1,9,0,9,0,0",0.0
"3,9,3,7,6,1,6,1,9,2,0,3,9,0,0,5,0",0.0
"8,5,4,0,1,0,1,4,0,0,5,2,2,9,1,1,6,0,0,9,0",0.0
"4,0,2,6,8,2,9,3,3,6,0,6,2,4,9,0,9,0,0",0.0
"8,2,9,6,6,2,0,1,9,6,0",0.3360223076425785
"8,4,4,6,0,2,6,4,0,6,2,2,0,1,9,0,0,0,0",0.0
"3,3,9,0,4,4,1,9,4,2,9,6,0,8,0,1,0,0,0",0.0
"3,5,8,4,1,5,2,4,9,0,6,0,2,9,0,9,5,0",0.0
"2,2,2,9,3,1,4,3,1,9,7,1,1,0,0,9,0,0,0,0,0,0",0.0
"4,1,0,2,2,9,1,3,9,0,6,6,0,6,2,9,0,0",0.0
"6,7,3,2,0,9,2,3,9,0,9",0.7483281667840318
"4,6,8,6,0,3,5,2,2,4,0,5,5,3,9,0,0,0,0",0.0
"3,0,5,4,4,4,1,1,5,0,1,4,8,0,0,0,9,9,0,0",0.0
"5,3,4,9,7,5,2,2,3,2,1,4,1,9,4,9,0,0,0,0,0,0,0,0",0.0
"7,4,2,1,2,3,9,2,2,4,4,2,3,3,9,0,9,0,0,0,0,0,0,0,0,0",0.0
"5,2,9,4,0,1,6,6,3,8,6,0,0,5,3,9,0",0.0
"3,4,0,5,0,4,8,5,4,0,9,0",0.0
"3,3,5,0,1,0,3,5,8,6,0,8,0,6,3,9,0",0.0
"7,2,4,0,0,3,9,5,0",0.0
"4,0,8,5,2,0,1,5,5,5,4,9,1,4,1,6,0,9,9,0,0",0.0
"4,8,0,7,6,4,6,0,0",0.0
"3,2,6,6,3,0,0,1,5,1,0,5,0,9,0",0.0
"4,6,0,6,3,9,2,6,8,5,0,5,4,5,0,0",0.0
"5,1,7,6,1,0,1,1,0,3,9,6,0,9,9",0.7125677286086544
"4,0,4,4,3,5,8,3,3,4,3,9,0,0,9,9,0,0,0",0.0
"2,8,0,2,7,5,1,9,0,0",0.0
"5,5,8,3,5,5,5,1,9,6,1,1,3,6,0,0,9,9,0",0.0
"8,1,9,1,1,2,4,1,2,0,9,9,5,4,4,0,5,0,0,0,0,0",0.0
"8,3,4,2,6,2,5,5,0,4,5,0,9,9,9,0",0.0
"2,7,6,1,9,3,2,9,2,0,3,9,0,0,0",0.21109899269505725
"4,7,0,4,2,9,1,5,1,3,7,0,7,0,0,9,9",0.0
"6,4,9,5,4,4,9,0,8,6,6,6,6,0",0.0
"3,9,4,0,4,8,1,9,5,2,9,4,3,3,2,0,0,0,0,0,0",0.0
"4,2,0,9,3,2,4,9,3,6,1,6,0,9,3,0,0,0,0",0.0
"6,8,1,4,6,0,2,4,6,0,3,4,0,9,9,9,0",0.0
"6,2,1,4,2,7,4,5,4,1,0,9,2,1,2,9,0,0,0,9,0,0,0,0",0.0
"4,9,1,5,3,3,4,5,1,9,2,6,8,0,0,9,0,0,0",0.0
"4,0,2,0,1,9,2,1,1,3,0,2,0,5,0,6,0,9,9",0.0
"8,6,4,5,2,9,5,2,9,3,1,2,9,0,0,0,0",0.0
"5,8,4,3,2,4,5,1,3,0,3,2,9,0,9,0,2,0,0,0,0,9",0.0
"7,3,5,0,5,5,4,5,1,5,3,0,0,9,5,0",0.0
"6,7,5,5,5,2,2,1,2,2,6,0,1,4,0,0,0,9,0,0,9",0.0
"1,9,7,4,5,0,3,9,4,5,2,6,4,9,0,6,0,0",0.0
"6,4,2,8,0,1,8,3,1,1,5,5,1,5,0,0,0,0,0,9,9",0.0
"4,9,7,2,3,6,0,4,9,3,9,3,5,1,0,0,0,0",0.0
"1,0,6,8,2,0,9",0.584901409067823
"6,3,9,8,3,5,0,9",0.0
"7,2,0,2,0,0",0.0
"7,3,6,6,3,0,0,3,5,0,9",0.0
"5,1,3,6,1,0,0,4,2,6,7,3,9,2,0,9,0,0,9",0.0
"8,3,9,2,6,2,3,0,0,0,0",0.3341678545139577
"4,3,9,2,6,8,0,3,3,7,1,6,1,0,9,0,9,0,0",0.0
"3,4,7,6,1,3,3,9,5,2,4,0,6,2,0,9,9,0,0,0,0",0.0
"1,4,4,5,8,3,0,3,6,2,5,0,1,0,6,0,9,9,9,0",0.0
"3,4,9,6,3,6,7,0,2,0,2,3,9,7,0,9,0",0.5490936475430561
"4,6,6,2,4,8,0,0,7,0,9",0.0
"2,5,0,3,9,8,0",0.0
"3,0,6,1,2,0,7,6,6,1,9,0,7,6,0",0.21904724152615912
"7,4,0,6,6,4,6,4,9,6,1,1,5,5,5,0,0,0,0",0.0
"1,7,6,3,1,4,5,0,1,6,0,4,2,9,0,0,0,9,9",0.0
"3,9,4,0,5,5,7,4,2,0,0,0",0.0
"4,7,1,6,1,0,1,9,0,3,3,5,1,0,2,9,0,0,0,9",0.7232801011151087
"8,1,2,3,2,5,1,0,3,0,3,2,3,9,6,0,0,0,0,9,0,9",0.0
"7,3,1,3,1,1,9,2,4,5,1,9,5,0,9,0,0,0,0,0",0.0
"4,5,8,2,5,2,2,0,4,1,5,3,5,1,9,0,9,0,0,9,0,0",0.0
"4,5,8,0,6,6,7,4,1,2,5,0,1,0,9,4,0,0,9",0.0
"4,8,5,2,4,4,0,0,1,5,4,4,0,2,9,0,0,9,9,0",0.0
"7,2,1,6,0,6,2,0,1,6,3,9,3,0,9,0,0",0.33055683762225735
"3,3,0,1,2,7,0,1,0,9,2,8,1,9,0,9,5,0",0.0
"8,1,0,4,9,6,1,9,0",0.31864459266223877
"2,0,2,0,5,4,9,8,4,0,2,6,0,0",0.8619028038742743
"1,7,5,1,0,6,6,0,5,7,5,2,0,9",0.0
"2,4,8,0,9,6,4,8,0,5,3,2,7,0,9,0",0.0
"7,2,6,3,4,5,0,1,3,4,1,3,9,2,0,0,9,0,9,0,0,0",0.0
"2,8,5,1,0,0,7,4,3,5,2,3,9,2,0,9,6,0,0,9",0.0
"2,8,0,6,7,4,9,5,5,0",0.0
"3,3,9,8,0,2,2,1,8,5,3,9,4,1,0,5,0,9,0,0,0",0.0
"1,9,2,7,1,9,1,3,0,6,4,9,0,3,0,6,0,0",0.0
"5,5,8,6,2,2,9,2,5,5,3,9,0,0,0",0.0
"7,2,2,2,2,9,2,9,3,1,4,3,3,0,9,0,0,0,0,0,0,0",0.0
"1,6,4,5,0,0,2,0,9",0.0
"5,1,9,8,4,9,3,2,6,2,6,2,9,1,1,0,0,0,0,0,0",0.0
"8,4,1,9,0,3,9,1,6,3,1,0,0,1,0,9,0",0.33629425960365944
"8,1,2,0,4,0,4,4,1,1,9,3,0,0,0,9,2,0,0,9",0.0
"2,2,0,0,2,9,1,9,4,9,7,1,0,1,0,0",0.0
